Fund,Fund ID,Fund Description,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,Salaries & Benefits,,,ESDA Adminstrator,"40,137","41,712","32,580","35,686","36,913","48,401","37,893","39,914","41,163","42,471","41,162","45,569","45,513","47,333","48,280","40,550","48,012","49,418","40,137","41,712","32,580","35,643","35,021","48,401","37,869","39,914","41,163","42,471","41,162","44,382","45,513","47,333","48,280","40,530","48,012","49,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,Office Supplies,,,ESDA Adminstrator,135,224,400,"2,411",300,114,787,"16,772",106,673,0,504,893,0,11,400,0,0,135,224,392,"2,411",222,114,620,"16,669",106,673,0,504,869,0,0,383,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,Postage,,,ESDA Adminstrator,296,300,137,745,359,427,484,133,0,36,49,37,150,92,0,500,0,0,296,250,137,745,359,427,484,133,0,36,49,0,0,92,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,"Mileage, Dues, & Conventions",,,ESDA Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,"1,000",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,Travel,,,ESDA Adminstrator,0,950,"1,400","1,801",627,335,489,505,195,205,45,290,400,0,0,0,0,0,0,858,"1,400","1,647",627,335,489,505,195,205,45,290,300,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,Telephone,,,ESDA Adminstrator,"2,097","2,059","2,185","2,772","1,528","3,284","3,522","3,124","2,584","2,123","2,735","2,240","2,000",428,631,"1,400",690,"1,082","2,097","2,059","2,123","2,772","1,336","3,284","3,104","3,124","2,584","2,123","2,736","2,240",897,418,631,"1,395",688,"1,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,Vehicle Expense,,,ESDA Adminstrator,"2,415","1,910","2,212","2,553","3,010","26,528","2,723","2,849","1,417","2,508","1,981","2,560","5,794","5,067","1,818","3,477","3,177","3,930","2,389","1,891","2,178","2,319","2,014","26,224","1,494","2,849","1,417","2,475","1,968","2,560","5,780","5,067","16,795","2,494","2,753","3,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,Education/Training,,,ESDA Adminstrator,0,"2,735",0,300,300,0,0,0,110,225,110,100,500,0,0,0,0,0,0,"2,367",0,0,0,0,110,0,110,225,110,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,Capital Outlay,,,ESDA Adminstrator,0,0,0,0,0,"50,000",200,0,0,"2,000","72,090",0,0,0,0,0,0,0,0,0,0,0,0,"7,273","43,177",0,0,"1,305","72,091",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,Office Rent,,,ESDA Adminstrator,"2,460","2,625","2,700","2,675","3,395","2,965","3,000","3,900","4,566","3,959","3,575","3,900",0,0,0,0,0,0,"2,460","2,625","2,700","2,545","3,395","2,965","3,000","3,900","4,566","3,959","3,575","3,250",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,Machine Rent,,,ESDA Adminstrator,649,750,750,825,883,146,0,0,0,0,0,0,0,0,0,0,0,0,649,682,750,825,883,146,"1,550",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,Mileage of Assistant,,,ESDA Adminstrator,0,0,0,0,"3,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,22,Civil Defense - ESDA,Civil Defense - ESDA,Equipment Repair & Maintenance,,,ESDA Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,23,Animal Control,Animal Control,Salaries & Benefits,,,Animal Control Adminstrator,"38,654","40,503","42,732","43,945","47,765","54,178","59,855","55,531","59,550","44,375","31,878","27,927","29,000","28,420","25,010","15,000","15,000","15,000","36,535","38,097","40,664","41,756","44,257","47,670","52,614","55,125","57,922","44,355","29,404","19,770","28,826","28,087","25,010","14,954","14,998",289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,23,Animal Control,Animal Control,Equipment,,,Animal Control Adminstrator,0,"10,000","10,000","10,000","10,000","17,000","20,000","20,000",0,0,0,0,0,0,0,0,0,0,0,0,"12,500","7,963","2,531","5,492",250,"18,561",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,23,Animal Control,Animal Control,Miscellaneous,,,Animal Control Adminstrator,0,0,0,0,0,0,0,"4,324",0,0,121,"6,073",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,735",0,0,122,"6,073",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,24,DUI Task Force Grant,DUI Task Force Grant,Salaries & Benefits,,,Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,24,DUI Task Force Grant,DUI Task Force Grant,Miscellaneous,,,Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,25,Merit Commission,Merit Commission,Miscellaneous,,,Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,26,Jail,Jail,Leads,,,Sheriff,824,"3,000","1,193","3,000",0,0,0,"6,000",0,0,0,0,0,0,0,0,0,0,824,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,26,Jail,Jail,Food,,,Sheriff,"37,847","45,803","53,407","49,081","57,012","60,066","61,607","64,857","73,592","75,492","65,500",0,0,0,0,0,0,0,"37,847","45,803","53,408","46,534","57,234","60,066","61,607","70,688","73,592","75,492","65,501",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,26,Jail,Jail,Supplies,,,Sheriff,"18,819","25,635","20,000","20,000","21,881","26,469","16,952","28,619","24,462","19,161","20,920",0,0,0,0,0,0,0,"18,854","25,635","19,385","18,686","21,881","25,601","16,952","28,619","24,462","19,161","20,921",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,26,Jail,Jail,Utilities,,,Sheriff,"48,585","54,628","61,727","64,919","51,338","61,883","67,609","64,850","62,198","64,281","62,151",0,0,0,0,0,0,0,"48,585","54,628","61,727","64,919","51,338","61,883","67,609","64,850","60,745","64,281","62,105",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,26,Jail,Jail,Equipment Repair,,,Sheriff,"40,606","21,166","19,593","28,000","31,185","55,185","36,328","54,827","57,515","38,621","54,225",0,0,0,0,0,0,0,"40,606","20,575","19,058","18,642","31,185","45,185","36,328","54,827","57,515","38,621","54,226",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,26,Jail,Jail,Housing Inmates in Other Counties,,,Sheriff,"23,900","13,917","36,399","41,000","30,640","31,240","28,694","10,810","42,000","40,375","93,390",0,0,0,0,0,0,0,"23,900","13,917","36,399","34,515","30,640","31,240","51,644","10,810","36,805","40,375","93,390",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,26,Jail,Jail,Medical Expenses of Inmates,,,Sheriff,"34,419","34,000","59,147","50,000","83,944","56,157","107,402","107,698","113,023","94,860","89,810",0,0,0,0,0,0,0,"34,419","30,209","59,147","36,491","83,944","56,157","107,681","107,698","108,170","94,856","89,810",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,27,Probation,Probation,Salaries & Benefits,,,Chief Probation and Court Services Officer,"190,928","198,203","213,903","228,670","290,667","274,126","300,226","300,226","299,436","314,750","309,554","318,800","321,144","337,020","326,357","348,359","412,764","389,200","190,928","198,203","213,903","225,267","250,371","259,076","265,755","283,119","295,784","309,915","309,554","315,391","317,608","330,669","326,220","346,922","414,045","379,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,27,Probation,Probation,Detention Grant,,,Chief Probation and Court Services Officer,0,0,0,0,0,"6,350","2,100","6,539","6,426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,250","2,100","6,539","6,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,27,Probation,Probation,Travel,,,Chief Probation and Court Services Officer,"1,086","2,532","4,000","4,000","4,000","4,000","4,000","4,000",-25,161,0,0,0,0,0,0,0,0,"1,477","2,443","2,617","2,019","1,393","1,334","1,980","2,346",-25,161,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,27,Probation,Probation,Domestic Violence/Sex Offender,,,Chief Probation and Court Services Officer,0,0,0,0,0,"15,367","27,273","68,420","62,422","16,600",0,0,0,0,0,0,0,0,0,0,0,0,0,"13,131","37,743","64,830","52,857","10,527",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,27,Probation,Probation,Purchase of Equipment,,,Chief Probation and Court Services Officer,0,"27,744","3,000","4,000","4,000","4,000","4,000","19,428",0,"6,129","4,150",0,0,0,0,0,0,0,0,"5,511","2,222",338,0,214,806,"15,428",278,"1,701","4,150",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,27,Probation,Probation,Office Supplies,,,Chief Probation and Court Services Officer,0,"8,465","10,000","9,000","9,000","9,000","9,000","9,000","2,750","7,360",0,0,"2,856",500,863,500,487,486,0,"8,465","6,687","7,907","7,227","8,575","8,972","8,818","2,750","6,709",0,0,499,462,863,474,487,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,28,Appellate Assistant Service,Appellate Assistant Service,Payment for Services,,,State's Attorney,"11,800","12,000","12,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","17,000","19,000","15,000",0,0,0,0,"11,741","10,950","12,530","10,980","13,657","11,309","13,086","13,000","13,000","13,000","15,000","16,954","18,730","14,050",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Salaries & Benefits,,,Circuit Clerk,"20,220","21,120","22,320","23,684","25,484","53,968","56,368","58,288","60,448","62,848","62,847","66,644","73,343","2,918",0,0,0,0,"20,220","21,120","22,320","23,684","25,484","52,844","56,368","58,288","60,448","62,848","62,848","66,644","71,543","2,918",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Office Supplies,,,Circuit Clerk,"2,427","2,463","2,188","4,048","4,504","4,276","4,000","6,000","3,800","4,232","4,492","4,000","4,000",504,"2,703","2,849","2,000","2,000","2,194","1,876","2,188","2,395","2,251","3,721","3,955","3,755","3,269","4,232","4,493","3,998","3,820",504,"2,703","2,848","1,040","1,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Postage,,,Circuit Clerk,0,0,116,0,0,0,500,500,400,547,450,450,505,691,491,500,500,672,0,0,116,0,0,0,110,110,204,547,384,109,505,521,491,305,337,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Court Appointed Attorneys,,,Circuit Clerk,"53,239","42,000","40,000","50,000","53,017","55,000","55,000","55,000","52,169","53,422","49,713","60,939","82,862","13,817","44,117","24,151","26,833","47,861","51,373","37,708","34,378","46,833","35,630","38,019","54,279","44,272","52,077","53,422","48,555","60,190","82,771","13,817","34,389","17,737","26,833","47,861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Psychological Evaluations & Testing,,,Circuit Clerk,0,"1,500","3,847","2,000","3,983","4,000","2,850","4,000","1,310",0,"5,142",700,750,0,"1,300","6,100","8,000","3,500",0,350,"2,148","1,185","3,983","1,358",615,"1,445","1,310",0,"5,142",700,750,0,750,"1,811","3,999","1,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Court Reporter Services,,,Circuit Clerk,"5,799","8,000","11,294","15,000","15,000","15,000","15,000","17,500","10,340","10,236","8,065","9,504","8,700","3,909","3,500","8,900","8,000","3,000","5,774","7,065","10,506","6,592","5,883","6,090","11,833","11,239","9,948","8,880","6,564","5,968","7,381","3,909","3,454","8,808","7,165","1,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Telephone,,,Circuit Clerk,"2,711","2,500","2,139","2,200","2,200","2,200","2,200","2,200","2,000","2,074","2,500","2,500","2,500",498,"2,600","2,000","2,000","1,783","2,711","1,989","2,096","2,008","1,485","2,143","1,726","1,915","1,775","2,056","1,851","1,914","1,972",498,"1,737","1,900","1,729","1,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,"Books, Transcripts, & Periodicals",,,Circuit Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,604","8,422","6,500","3,230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,415","8,421","1,665","1,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Witness & Investigations,,,Circuit Clerk,0,500,500,500,500,500,"1,308","1,000",433,866,979,"1,000","1,000",0,0,0,0,0,0,0,0,135,38,210,"1,308",665,433,866,980,910,280,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Equipment Repairs,,,Circuit Clerk,"2,000","2,000","2,189","2,500","2,500","2,500","2,825","3,500","2,000","1,272","1,959","2,000","2,000",104,500,"10,600","1,500","1,045","1,117","1,600","2,189","2,107","1,973","2,096","2,825","2,170","1,807","1,272","1,959","1,427","1,125",104,348,"10,560",345,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Reimbursement to State,,,Circuit Clerk,"1,611","1,688","1,653","2,000","2,000","2,000","2,000","2,000","1,742","1,781","1,742","1,703","1,685",0,0,0,0,0,"1,611","1,688","1,653","1,863","1,713","1,639","1,725","1,703","1,742","1,781","1,743","1,703","1,685",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Blood Tests,,,Circuit Clerk,418,500,500,"1,000",500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Miscellaneous,,,Circuit Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,698","1,750","5,690","5,186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,698","1,703","2,159","5,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Petit Jurors Expense,,,Circuit Clerk,"27,499","26,500","23,873","25,000","25,000","18,000","23,000","23,000","7,866","13,785","14,481","10,060","25,544","19,676","9,487","2,900","15,000","10,247","23,132","17,130","20,528","21,407","20,102","15,423","14,123","17,453","7,604","13,785","14,481","10,060","25,544","19,676","3,325","2,611","13,591","10,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Grand Jurors Expense,,,Circuit Clerk,"2,000","2,000","2,000","2,000","2,000","2,000","2,517","3,000",-45,26,"2,302","2,500","1,438",883,"3,000","3,078","4,000","1,477",745,"1,016","1,921",658,"1,222","1,969","2,517","2,634",-45,26,"2,248","1,843","1,438",883,"1,784",758,706,"1,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,29,Circuit Court,Circuit Court,Equipment,,,Circuit Clerk,"2,400","2,400","1,797","2,000","2,000","7,000","2,000","3,500",787,"1,731","3,620",0,0,0,0,0,0,0,"1,911","1,512","1,581",713,"1,201","5,193","1,174","1,397",787,"1,731","3,621",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,30,Public Defender,Public Defender,Salaries & Benefits,,,Public Defender,"74,635","77,335","85,020","85,945","88,508","91,100","93,819","94,120","97,583","100,668","101,534","107,168","108,945","113,303","176,612","149,876","156,549","183,539","73,363","76,836","84,520","85,213","88,289","90,600","93,344","93,613","97,083","100,668","101,035","107,168","108,945","113,303","169,259","131,860","156,549","183,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,30,Public Defender,Public Defender,Telephone,,,Public Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,628,625,"1,418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,338,504,"1,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,30,Public Defender,Public Defender,Travel,,,Public Defender,"1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600",939,0,0,0,187,175,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,150,175,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,30,Public Defender,Public Defender,Miscellaneous,,,Public Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,"1,057","3,574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,"1,055","3,574",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,30,Public Defender,Public Defender,Office Expense,,,Public Defender,"13,200","13,200","13,200","13,200","26,400","26,400","26,400","26,400","26,400","26,400","26,400","25,632","27,368","21,722","1,140","1,083","4,950",383,"13,200","13,200","13,200","13,200","26,400","26,400","26,400","26,400","26,400","26,400","26,400","25,632","27,368","21,722",879,511,"4,800",383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,30,Public Defender,Public Defender,Office Supplies,,,Public Defender,"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500",702,0,0,0,0,0,0,0,0,0,0,0,0,195,64,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,30,Public Defender,Public Defender,Publishing,,,Public Defender,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,30,Public Defender,Public Defender,Psychological Evaluations,,,Public Defender,"3,000","3,000","4,400","4,400","4,400","4,400","4,400","4,400","2,400","3,872","7,000",0,0,0,0,0,0,0,"1,925","1,950","3,665","2,550",875,"1,525",830,"3,295","2,250","3,650",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,30,Public Defender,Public Defender,Equipment,,,Public Defender,0,0,500,500,500,500,476,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,30,Public Defender,Public Defender,Witness & Investigations,,,Public Defender,"1,500","1,500","2,599","2,599","2,599","2,599","2,599","2,599",599,"2,060","1,965",0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,"2,060",21,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,30,Public Defender,Public Defender,Contractual Employees,,,Public Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51,748","66,761","54,279","39,314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51,748","66,750","51,500","38,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,30,Public Defender,Public Defender,Equipment Repair & Maintenance,,,Public Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,31,Jury Commission,Jury Commission,Office Supplies,,,Circuit Clerk,0,0,400,0,400,772,"1,535",900,900,900,"1,200","1,200",614,612,708,652,618,553,0,0,258,0,309,772,"1,431",900,0,416,99,892,314,478,599,522,565,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,31,Jury Commission,Jury Commission,Postage,,,Circuit Clerk,0,0,"1,050",0,"2,200","1,978","3,200","3,200","1,530","3,488","3,488","3,488","3,488","3,488","3,488","3,488","3,488","3,488",0,0,0,0,"2,200","1,060","3,200","3,200",0,"3,488","3,488","3,488","3,488","3,488","3,488","3,488","3,488","3,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,31,Jury Commission,Jury Commission,Telephone,,,Circuit Clerk,0,0,"1,250",0,"1,100","1,100",665,"1,100","2,898","1,400","1,100","1,100","1,098","1,100","1,000",799,734,799,0,0,"1,250",0,835,996,665,991,"2,898",399,604,651,569,583,798,617,548,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,31,Jury Commission,Jury Commission,Jury Commissioner,,,Circuit Clerk,"2,500","3,000",300,"4,000",300,150,100,300,200,0,0,0,0,0,3,0,0,0,"2,474","2,994",131,"3,473",0,58,100,300,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Salaries & Benefits,,,Circuit Clerk,"272,040","287,659","312,680","314,739","336,856","366,408","379,609","379,609","375,848","412,378","415,768","415,769","430,983","420,522","373,812","476,957","498,998","521,085","272,040","287,659","312,562","312,449","323,159","335,184","352,528","364,522","370,174","364,092","372,666","392,189","388,296","419,868","373,760","416,223","498,998","521,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Office Supplies,,,Circuit Clerk,"8,308","9,403","14,297","23,528","18,528","18,528","20,000","20,000","20,000","22,009","19,889","20,000","20,000","22,368","15,779","21,250","13,708","7,928","8,308","9,370","14,297","19,296","17,965","18,109","19,566","17,773","19,599","22,009","18,605","19,807","18,859","22,368","15,779","22,732","13,708","7,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Postage,,,Circuit Clerk,"12,820","12,000","20,604","20,995","22,407","20,224","18,528","18,528","20,196","20,196","20,196","20,196","20,196","20,196","17,773",177,176,176,"12,804","12,000","20,604","20,942","18,114","19,714","18,100","18,336","19,169","19,639","20,162","20,196","20,196","20,195","17,773",176,176,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Travel,,,Circuit Clerk,"1,274","1,695",972,"1,500","1,500","1,500","1,500","1,500","1,500","1,000",554,"1,000","1,079",515,325,464,325,325,"1,274","1,695",972,477,436,385,502,295,544,34,125,350,"1,079",389,325,325,325,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,32,Circuit Clerk,Circuit Clerk,Publishing,,,Circuit Clerk,0,0,0,0,0,0,0,0,0,0,0,0,250,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
