Fund,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,
General Fund,1,14,County Administration,County Administration,Equipment Repairs & Maintenance,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,1900,2476,1498,1175.5,1200,0,0,,0,0,0,0,0,0,0,0,0,0,0,1580,1897,2476,1197,1175.5,
General Fund,1,14,County Administration,County Administration,Miscellaneous,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32525,5400,33370,594,5009.92,2100,0,0,,0,0,0,0,0,0,0,0,0,0,0,24125,1069,33370,594,5009.92,
General Fund,1,14,County Administration,County Administration,Appellate Assistant Service,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19960,20000,19935,23000,14027.39,14500,0,0,,0,0,0,0,0,0,0,0,0,0,0,19960,16198,19935,14680,13480,
General Fund,1,14,County Administration,County Administration,Insurance,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663103,645938,191543,206851,120433.23,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,609121,561831,191543,129340,120433.23,
General Fund,1,14,County Administration,County Administration,Audit,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26798,26800,26300,26300,30635,28965,0,0,,0,0,0,0,0,0,0,0,0,0,0,26798,26659,26300,28125,30635,
General Fund,1,14,County Administration,County Administration,Care of Cemetery,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,901,1000,1000,1000,1000,0,0,,0,0,0,0,0,0,0,0,0,0,0,800,900,1000,500,900,
General Fund,1,14,County Administration,County Administration,County Website Design,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,1301,1800,1800,1500,1475,0,0,,0,0,0,0,0,0,0,0,0,0,0,1250,1300,1800,1470,1475,
General Fund,1,14,County Administration,County Administration,Tourism Commission,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,1000,1000,1000,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,
General Fund,1,14,County Administration,County Administration,West Central Planning,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9536,9536,9536,10000,9536,9536,0,0,,0,0,0,0,0,0,0,0,0,0,0,9536,9536,9536,9536,9536,
General Fund,1,14,County Administration,County Administration,Macoupin County Economic Development Partnership,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73269,154500,173000,173000,180900,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,73269,154500,173000,180662,169807.5,
General Fund,1,15,Transportaion (and Freight),Transportaion (and Freight),Miscellaneous,,These expenses helped cover public works projects that are now paid for by the Highway Department's Special Funds.,County Board Office,500,500,0,500,500,500,500,500,475,100,100,0,0,0,0,0,0,0,0,0,231,168,88,80,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,16,Contingency,Contingency,Miscellaneous,,This line item was used by the Board as a budget dollars that could be used in the case of an emergency. Beginning in 2007 it was no longer budgeted by the Board.,County Board Office,39212,57019,35433,49543,156567,19248,7927,21475,13959,1237,2198,0,0,0,0,0,0,0,0,0,25526,2909,30545,5113,0,0,7828,27210,374,0,0,0,0,0,0,0,0,0,0,
General Fund,1,17,Insurance,Insurance,Employee Health Insurance,,"This purpose of this line item is to fund the county’s portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees’ health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county’s HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,285000,325000,325000,350000,350000,174312,220000,720000,839908,927769,792575,727673,765698,606156,0,0,0,0,0,540000,276628,296359,322283,336313,358242,304129,235687,712585,800600,790075,715950,695012,548386,488266,0,0,0,0,0,
General Fund,1,17,Insurance,Insurance,Life Insurance,,"This purpose of this line item is to fund the county’s portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees’ health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county’s HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,5462,5000,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,4582,4662,0,0,0,0,0,
General Fund,1,17,Insurance,Insurance,State Unemployment Insurance,,"This purpose of this line item is to fund the county’s portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees’ health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county’s HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,20000,25000,25000,25000,25000,688,15000,15000,12017,15460,17424,17800,28072,27844,0,0,0,0,0,50000,20000,14055,9570,8328,12315,688,13271,12195,12017,15281,17424,17800,28072,27844,0,0,0,0,0,
General Fund,1,17,Insurance,Insurance,Workers Compensation Insurance,,"This purpose of this line item is to fund the county’s portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees’ health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county’s HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,17,Insurance,Insurance,Public Liability,,"This purpose of this line item is to fund the county’s portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees’ health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county’s HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,17,Insurance,Insurance,Property,,"This purpose of this line item is to fund the county’s portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees’ health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county’s HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,17,Insurance,Insurance,Miscellaneous,,"This purpose of this line item is to fund the county’s portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees’ health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county’s HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,527,2415,1000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,247,2415,0,0,0,0,0,0,
General Fund,1,17,Insurance,Insurance,Retirees/Cobra Premiums,,"This purpose of this line item is to fund the county’s portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees’ health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county’s HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,,,,,,,,,,,,,,,,,,,0,
General Fund,1,17,Insurance,Insurance,HRA Reimbursement and Admin Fees,,"This purpose of this line item is to fund the county’s portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees’ health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county’s HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106000,,,,,,,,,,,,,,,,,,,0,
General Fund,1,18,Matching Funds,Matching Funds,County Match to Highway,,These expenses helped cover public works projects that are now paid for by the Highway Department's Special Funds.,County Highway Engineer,0,0,1200,0,0,0,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,19,Real Estate Stamps,Real Estate Stamps,Office Supplies,,"Anyone who buys property within county limits must purchase real estate transfer tax stamps. This purpose of this line item is to fund the County Clerk’s purchase of those physical real estate transfer tax stamps throughout the course of the fiscal year. For every stamp that is purchased through this line item, the county is reimbursed.",County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,160000,285000,170000,86625,145828,112529,115000,0,0,,0,0,0,0,0,0,0,0,0,0,98670,284600,104050,86625,104684,112529,
General Fund,1,20,Archives,Archives,Miscellaneous,,"The County Archives, located at the former Carlinville Public Library Building, houses decades worth of county records. Volunteers who work at indexing and organizing those records raised donations to help cover small fixes to the building.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4845,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3850,0,
General Fund,1,21,Sheriff,Sheriff,Salaries & Benefits,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,1334922,1458060,1572325,1570625,1519702,1613947,1663004,1868575,1993951,2123423,2072181,2152592,2124450,2097250,2040661,1964184,2284777,2451488,2790163.81,1962229.4,1334922,1458060,1572325,1559929,1519730,1613947,1663110,1868549,1993297,2108554,2072174,2149715,2117869,2096986,2045169,1964184,2282277,2451422,2790163.81,
General Fund,1,21,Sheriff,Sheriff,Salary Reimbursed by Grant,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,21,Sheriff,Sheriff,Salaries & Benefits Reimbursed by Drug Task Force,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,21021,22000,22000,34000,34000,34000,34000,36750,36290,44640,54135,54135,56141,55018,48416,45995,50174,51198,52400,53400,21021,17850,26748,28316,30303,31310,33679,36783,36424,44602,50592,49261,46399,48362,48416,40214,48890,50988,52400,
General Fund,1,21,Sheriff,Sheriff,Retroactive Salaries,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467774,0,
General Fund,1,21,Sheriff,Sheriff,Office Supplies,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,28428,27070,32701,44139,34602,33000,27764,38682,34047,14824,10936,26800,47079,47456,45966,34529,38343,24912,18823.35,14738.6,28428,27070,27672,44139,34602,30388,28738,38627,34047,14158,10936,26583,47079,47456,45966,34529,38343,24912,18823.35,
General Fund,1,21,Sheriff,Sheriff,Leads,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,5000,2145,0,2590,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,2145,0,2590,0,0,0,
General Fund,1,21,Sheriff,Sheriff,Travel,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,1660,2126,2322,3134,3000,4000,1383,2535,3000,3000,1532,1513,3000,3000,2682,2352,1998,3775,1505,3000,1660,2126,2322,3134,2038,2391,1383,2535,2596,1662,1533,1513,1738,2866,2432,2352,1998,3775,1505,
General Fund,1,21,Sheriff,Sheriff,Education & Training,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,4005,4377,4094,2192,5889,8000,8185,3882,5833,6385,7802,8000,12272,9277,6500,7762,4167,7969,4696.56,6200,4005,4377,4094,2192,5889,6907,8185,3882,5833,6385,7802,7885,12272,8977,5430,7762,4167,7969,4696.56,
General Fund,1,21,Sheriff,Sheriff,Lodging & Meals Conveying Prisoners,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,323,756,3111,2722,4000,4000,1036,5460,4000,4000,1587,2300,9206,2000,2000,3327,2999,203,92.97,0,323,670,3111,2722,2499,2633,2388,5460,1496,3151,1588,2216,9206,1438,1378,3327,2999,203,92.97,
General Fund,1,21,Sheriff,Sheriff,Equipment Repair,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,9855,3465,5406,8287,9290,10000,6865,10520,12135,10876,21691,44039,60000,50807,47437,27459,27427,24864,38232.44,0,9855,3465,5406,8287,9290,7606,6865,10520,12135,10876,21691,44039,43023,50058,45263,27459,27427,24864,38232.44,
General Fund,1,21,Sheriff,Sheriff,Vehicle Expense,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,61067,68796,69978,61034,72561,88500,92680,90366,96445,107654,145958,116237,126748,186975,86281,125792,111942,89433,154005.02,105332,61067,68796,63140,61034,72561,86739,93194,90366,96445,107654,145958,115295,126748,187215,81538,125792,111942,89433,154005.02,
General Fund,1,21,Sheriff,Sheriff,Insurance,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,14111,14337,15091,18565,18000,20000,17952,25832,2680,4524,1030,100,2682,575,6910,1000,2965,0,0,1000,14111,14337,15091,18565,14905,17969,17952,25832,172,3520,1030,55,2682,575,6910,1000,2965,0,0,
General Fund,1,21,Sheriff,Sheriff,K-9,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0,0,0,0,0,0,0,0,0,0,1268,1200,878,1697,1003,706,925,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,1164,828,1697,849,706,925,0,0,
General Fund,1,21,Sheriff,Sheriff,Telephone,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0,0,0,0,0,0,0,0,0,27439,30000,28167,35000,26484,26421,25645,26979,15489,26326.56,30000,0,0,0,0,0,0,0,0,0,27439,27247,28167,29606,26484,26215,25645,26979,15489,26326.87,
General Fund,1,21,Sheriff,Sheriff,Miscellaneous,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,741,705,728,607,41500,175,487,457,1446,26055,10229,2144,2193,1500,1336,0,580,0,518.15,1000,741,705,728,607,41162,0,487,457,1446,26055,10229,2144,1804,0,1318,0,578,0,518.15,
General Fund,1,21,Sheriff,Sheriff,Equipment,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,49952,75512,68677,111241,109759,121240,123547,120137,116430,36005,58177,149936,186034,134866,69868,16544,39905,9137,6420.79,10000,49952,75512,68677,111241,109543,121240,123547,120137,111080,36005,58177,149936,186034,152690,69868,16544,39905,9137,6420.79,
General Fund,1,21,Sheriff,Sheriff,Employee Uniforms,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,19584,18100,18518,21236,21276,23303,22628,23070,22000,22000,23010,25000,25000,18091,18553,17381,18854,14606,17937.26,20000,19584,17436,18518,21236,21276,23303,22628,23070,21653,21817,22459,24614,21662,18091,18553,17381,18854,14606,17937.26,
General Fund,1,21,Sheriff,Sheriff,Investigation Division Supplies,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff’s office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,1520,2276,2844,2566,3000,5160,2859,4408,5000,5000,1985,1070,3000,3000,2000,1592,391,386,414.84,2000,1520,2276,2844,2566,2909,5160,2859,4408,4395,3319,1985,1070,1724,1367,1731,1592,391,386,414.84,
