Fund,Fund ID,Fund Description,Department,Short Title,Department ID,Control Officer,Link to Website,Department Description,Expense Line,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Supervisor of Assessments,Supervisor of Assessments,8,Supervisor of Assessments,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Office Supplies,1830,1000,1000,1000,1034,1000,1000,1000,1000,1000,1000,1300,1300,1300,249,2185,1752,1800,1800,1800,1830,886,861,846,1034,292,657,410,557,805,298,451,1233,902,249,2185,925,1434,1268.92
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Supervisor of Assessments,Supervisor of Assessments,8,Supervisor of Assessments,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Postage,9290,10000,10000,10000,8190,9000,6730,8000,8000,8000,8000,8000,10000,10000,6647,8820,9126,14435,14434.8,14440,9290,9510,9007,3967,7220,5235,868,1191,5037,948,1468,4652,8826,1183,6647,8820,9126,13621,13489.03
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Supervisor of Assessments,Supervisor of Assessments,8,Supervisor of Assessments,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Travel,2114,3000,4000,4000,6000,6000,7000,6000,2981,6000,1600,6000,6295,8000,5290,3246,3672,6000,2595.98,6000,2114,2260,2596,2016,2344,1501,2965,2683,976,1022,1828,969,3282,2954,5290,3246,3672,4731,2595.98
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Supervisor of Assessments,Supervisor of Assessments,8,Supervisor of Assessments,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Printing,18571,13123,17670,18000,18000,17000,16000,17000,17000,17000,17000,16000,16000,14678,13747,16237,17368,20000,19519.62,19988,18571,4147,10939,12074,11101,11152,11703,9860,12968,13287,12449,14892,15541,14678,13747,16237,14359,9727,16545.35
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Supervisor of Assessments,Supervisor of Assessments,8,Supervisor of Assessments,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Education & Training,1304,3000,3021,3000,3000,3000,3000,3000,3000,3000,3000,3000,2910,42,630,1455,0,0,0,0,1304,959,3021,2255,1564,705,2122,1301,587,974,30,1800,725,20,630,1455,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Supervisor of Assessments,Supervisor of Assessments,8,Supervisor of Assessments,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Telephone,1627,1800,2109,2739,2800,2800,2926,3800,3800,3800,3800,4403,4500,4500,2344,3373,3600,3600,3621.29,3600,1567,1301,2082,2739,2387,2604,2926,2908,2434,2264,2250,2031,2521,3061,2344,3373,3160,2921,3621.29
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Supervisor of Assessments,Supervisor of Assessments,8,Supervisor of Assessments,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Miscellaneous,0,1000,0,6761,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,6491,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,150
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Supervisor of Assessments,Supervisor of Assessments,8,Supervisor of Assessments,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Equipment,0,0,0,0,0,2000,2000,2000,2000,2000,2000,2097,2090,2000,35,339,0,2000,3839.97,2000,0,0,0,0,0,1368,839,483,1548,810,1668,2097,2090,187,35,339,0,1848,3839.97
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Supervisor of Assessments,Supervisor of Assessments,8,Supervisor of Assessments,http://macoupincountyil.gov/assessment.htm,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",Equipment Repair & Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941,2993,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941,2993,0,297,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Audit,Audit,9,County Board Office,,The yearly expense for the county's audit of it's financial books where paid from this fund until 2009 when the expenses where then paid out of County Adminstration line item.,Cost of Audit,21500,18000,18000,18000,18000,18000,18000,18000,19100,25574,22030,23180,22033,22033,0,0,0,0,0,0,21300,9370,14427,12637,18035,17127,23976,24600,17005,25574,22030,23180,22032,22033,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Cemetery,Cemetery,10,County Board Office,,The expenses to the County to pay for the care of the county owned pauper cemetary. These expenses where moved to the County Adminstration line item in 2009.,Grants to Cemeteries,2000,2500,2500,2500,2500,2500,2500,2500,1430,1200,1200,1200,3800,3724,0,0,0,0,0,0,783,1000,350,900,300,900,600,600,600,600,600,800,1250,1318,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Capital Improvements,Capital Improvements,11,County Board Office,,"The line item, under the control of the Sheriff, funds routine general maintenance projects in the County Jail Building, County Courthouse, and other county facilities.",Capital Project Expense,155000,125000,248602,441286,500000,750000,243000,243400,135000,158519,65208,25675,28000,28000,28000,30000,2940,3000,3000,3000,129063,36986,79495,122297,639370,714230,254927,38067,134353,70183,43707,16531,4000,12826,26618,28225,2940,3000,3000
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Copy Room,Copy Room,12,County Clerk,,The line item funds expenses of the copy machines which are utilized by county officials in the County Courthouse.,Salaries & Benefits,19368,20279,21468,22982,24782,26282,27482,28442,30333,31608,31608,33516,0,0,0,0,0,0,0,0,19368,20279,21468,22948,24782,26282,27482,28442,30333,31607,31607,33516,0,0,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Copy Room,Copy Room,12,County Clerk,,The line item funds expenses of the copy machines which are utilized by county officials in the County Courthouse.,Office Supplies,1500,3325,2000,3000,2576,3500,5429,3689,3003,3494,4048,2250,4196,4360,3789,2957,3278,4210,4699.79,5000,1359,3325,1390,1859,2260,3309,5107,3134,2957,3170,3001,2250,3203,3756,3771,2957,3278,4043,4699.79
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Copy Room,Copy Room,12,County Clerk,,The line item funds expenses of the copy machines which are utilized by county officials in the County Courthouse.,Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Copy Room,Copy Room,12,County Clerk,,The line item funds expenses of the copy machines which are utilized by county officials in the County Courthouse.,Machine Rent,5303,7086,7500,6500,6924,7500,5571,7811,6700,7029,7451,6834,8804,7400,6560,6875,6357,9322,5132.21,5000,5267,7086,6763,6432,6924,7151,5571,7811,6610,7029,7452,6689,8804,6845,6560,6872,6320,9322,5131.64
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Tax Assessment & Collections,Tax Assessment & Collections,13,County Treasurer,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",Office Supplies,13047,14402,26496,25420,17215,17000,15000,28369,28369,33251,28000,28000,18662,21000,7146,29755,837,5720,2707.15,3000,13047,14402,26496,25420,17215,16673,6115,28369,14768,33251,16134,4323,18662,17975,7146,29641,837,5720,2707.15
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Tax Assessment & Collections,Tax Assessment & Collections,13,County Treasurer,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",Postage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,13272,13145.36,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,13190,13136.51
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Tax Assessment & Collections,Tax Assessment & Collections,13,County Treasurer,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",Printing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8715,14629,10626.84,11300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8715,14629,10626.84
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Tax Assessment & Collections,Tax Assessment & Collections,13,County Treasurer,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",System Updates & Programming,7000,8000,1504,8000,8000,8000,25000,8000,6000,3249,6000,6000,1419,6000,0,0,0,0,0,58000,6915,3005,422,0,3086,2919,24050,858,1496,1462,659,1500,500,0,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Tax Assessment & Collections,Tax Assessment & Collections,13,County Treasurer,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",Equipment ,3000,27000,42000,32580,34498,47000,24000,29001,1001,15500,14556,3121,5419,6000,600,650,0,3091,423.15,100,1707,3510,37154,17574,4888,4654,7536,5741,261,6948,8755,1530,4617,654,600,650,0,3091,423.15
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Tax Assessment & Collections,Tax Assessment & Collections,13,County Treasurer,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",Equipment Repair,14000,13000,13000,17000,23287,11000,19000,17630,17630,19000,22443,33879,22500,23800,52123,55907,51270,54065,56097.5,0,10213,9005,7185,13370,23287,961,18249,17630,17521,3385,22444,33879,21927,16446,52071,55870,51270,54065,56097.5
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Tax Assessment & Collections,Tax Assessment & Collections,13,County Treasurer,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",Education & Training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055,1200,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Tax Assessment & Collections,Tax Assessment & Collections,13,County Treasurer,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",Miscellaneous,4953,4598,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,2000,2000,2820,145,2677,4224,0,100,374,150,1647,191,2605,0,300,0,1292,1809,750,818,1141,1330,2820,142,2677,4224,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Tax Assessment & Collections,Tax Assessment & Collections,13,County Treasurer,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",Publishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2694.3
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Administration,County Administration,14,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",Salaries & Benefits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,52000,65420,80427,96624.61,79249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27759,51391,65420,78865,96624.61
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Administration,County Administration,14,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",Office Supplies & Postage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2821,3000,1627,1079,117.75,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2821,2297,1627,502,117.75
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Administration,County Administration,14,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.","Mileage, Dues, & Conventions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,1050,65,700,297.73,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,151,65,252,294.71
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Administration,County Administration,14,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",Printing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,900,1467,1500,916.83,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,528,1467,650,916.83
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Administration,County Administration,14,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",Telephone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,1400,1249,1400,1126.04,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,1335,1249,1190,1126.04
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Administration,County Administration,14,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",Equipment Repairs & Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,1900,2476,1498,1175.5,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,1897,2476,1197,1175.5
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Administration,County Administration,14,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",Miscellaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32525,5400,33370,594,5009.92,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24125,1069,33370,594,5009.92
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Administration,County Administration,14,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",Appellate Assistant Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19960,20000,19935,23000,14027.39,14500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19960,16198,19935,14680,13480
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Administration,County Administration,14,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663103,645938,191543,206851,120433.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609121,561831,191543,129340,120433.23
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Administration,County Administration,14,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",Audit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26798,26800,26300,26300,30635,28965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26798,26659,26300,28125,30635
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Administration,County Administration,14,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",Care of Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,901,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,900,1000,500,900
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Administration,County Administration,14,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Website Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,1301,1800,1800,1500,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,1300,1800,1470,1475
