Function,Agency,Fund Type,FP Category,Fund,Subfund,Subfund Name,2025-26  Estimates,2024-25  Estimates,2023-24  Actuals,2022-23  Actuals,2021-22  Actuals,2020-21  Actuals,2019-20  Actuals,2018-19  Actuals,2017-18  Actuals,2016-17  Actuals,2015-16  Actuals,2014-15  Actuals,2013-14  Actuals,2012-13  Actuals,2011-12  Actuals,2010-11  Actuals,2009-10  Actuals,2008-09  Actuals,2007-08  Actuals,2006-07  Actuals,2005-06  Actuals,2004-05  Actuals,2003-04  Actuals,2002-03  Actuals,2001-02  Actuals,2000-01  Actuals,1999-00  Actuals,1998-99  Actuals,1997-98  Actuals,1996-97  Actuals,1995-96  Actuals,1994-95  Actuals
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",General Fund,Assistance and Grants,Community Projects Fund,10256,Comm Proj GG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,4,0 ,86,119,"1,033","1,517","2,527","4,634","1,251","1,087","5,432","3,199","4,489","5,893","2,404",0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",General Fund,Assistance and Grants,Local Assistance Account,10000,Local Assistnce,100,"2,100","1,713","1,158",475,433,885,"1,181","1,709","2,867","3,166","2,144","2,425","2,268","2,300","2,404","4,386","4,828","3,914","3,844","5,621","6,893","7,228","3,524","11,822","10,433","5,553","11,797","8,648","15,675","4,234","3,389"
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,"12,457","8,892","13,457","9,991","5,883","4,854","5,644","6,214","5,388","5,433","5,019","4,989","5,058","7,359","10,709","11,798","14,170","16,865","23,737","20,084","14,357","9,118","9,635","12,803","12,709","12,293","11,065","15,089","15,369","17,435","21,856","24,462"
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",General Fund,Personal Service,State Operations Account,10050,State Purposes,"158,102","149,792","144,317","124,707","116,361","108,104","101,312","99,679","96,935","103,327","105,937","105,054","107,148","102,121","110,931","109,167","113,362","113,928","111,131","103,756","92,713","90,648","85,639","93,819","91,311","86,863","76,846","77,387","65,807","65,631","72,852","78,162"
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Fringe Benefits,Federal Employment and Training Grants,26000,DOL Fed Grants,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,101,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Indirect Costs,Federal Employment and Training Grants,26000,DOL Fed Grants,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Non-Personal Service,Federal Employment and Training Grants,26000,DOL Fed Grants,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Personal Service,Federal Employment and Training Grants,26000,DOL Fed Grants,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,274,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Assistance and Grants,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,"16,270","16,270",915,"1,538","1,064","3,300","3,336","5,044","2,368","5,283","4,028","1,303","1,119","1,245","3,638","2,034","1,798","1,916","1,407","1,880","1,218",569,"1,272","2,200",380,424,"1,074",287,345,589,394,588
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,24,24,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,92,483,527,488,549,660,420,398,487,314,481,243,592,314,0 ,415,757
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,49,49,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,8,47,56,43,48,46,33,31,31,0 ,53,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,"1,063","1,063","2,182","1,623","1,000","1,268","1,584","2,441","2,710","2,515","2,212","2,206","2,718","2,317","2,692","2,020","2,043","3,010","1,400","1,567","1,176",780,682,727,"1,315",686,808,430,384,259,861,"1,510"
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,"2,851","2,851","3,037","2,982","2,770","2,918","2,516","2,865","2,020","2,710","1,759","2,098","1,527","1,237","1,027","1,187","1,220","1,243","1,151","1,000",794,"1,716","1,144","1,434","1,406","1,263","1,114","1,210","1,190","1,021","1,176","1,494"
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25542,Cares Act,0 ,0 ,0 ,0 ,"1,465","1,025",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25542,Cares Act,0 ,0 ,0 ,(9),"2,220",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25542,Cares Act,0 ,0 ,0 ,0 ,"2,541","1,776",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Fringe Benefits,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,0 ,0 ,16,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Indirect Costs,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Non-Personal Service,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,35,35,28,60,139,114,74,12,46,0 ,25,28,69,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Federal,Personal Service,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,16,16,28,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Fringe Benefits,Combined Expendable Trust,20101,Planting Fields,162,162,16,21,30,47,106,32,84,60,61,84,80,61,113,119,115,131,91,103,91,97,73,49,38,39,26,56,136,31,50,3
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Indirect Costs,Combined Expendable Trust,20101,Planting Fields,7,7,1,1,1,2,6,2,4,3,3,4,4,3,8,8,10,11,7,7,8,8,8,4,0 ,4,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Combined Expendable Trust,20101,Planting Fields,48,48,146,190,135,113,594,162,113,130,138,165,150,50,51,31,47,48,82,126,126,97,156,270,37,66,51,34,114,105,53,94
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Personal Service,Combined Expendable Trust,20101,Planting Fields,216,216,21,35,46,78,166,58,139,104,104,141,137,111,210,242,289,278,219,228,193,232,204,199,176,106,100,303,256,259,281,282
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Capital Projects,Combined Expendable Trust,20176,Misc. Gifts Acc,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,544","1,749","1,106","6,929","3,879","6,079","18,571","11,040","8,317","7,453","8,611","5,068","1,766",715,"7,917","9,520",425,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Fringe Benefits,Combined Expendable Trust,20176,Misc. Gifts Acc,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43,66,66,83,57,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Indirect Costs,Combined Expendable Trust,20176,Misc. Gifts Acc,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4,2,5,4,2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Combined Expendable Trust,20176,Misc. Gifts Acc,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32,95,"1,566",878,"1,249",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Personal Service,Combined Expendable Trust,20176,Misc. Gifts Acc,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,112,119,115,118,196,15,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-79,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Fringe Benefits,Combined Nonexpendable Trust Fund,21653,Rocky Pocantico,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,12,13,0 ,17,5,3,8
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Combined Nonexpendable Trust Fund,21653,Rocky Pocantico,0 ,0 ,0 ,0 ,1,0 ,6,0 ,0 ,0 ,34,0 ,0 ,0 ,0 ,0 ,(4),261,80,96,56,47,49,72,174,109,193,150,190,15,97,100
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Personal Service,Combined Nonexpendable Trust Fund,21653,Rocky Pocantico,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4,4,7,37,38,24,22,23,24
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Combined Nonexpendable Trust Fund,21655,Rockefeller Tru,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,000",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21927,Boating Noise L,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21930,I Lve NY W Boat,59,59,40,35,33,29,37,43,25,64,60,59,59,50,57,19,48,45,36,18,16,15,12,11,2,6,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21930,I Lve NY W Boat,4,4,2,2,2,1,2,2,2,3,3,3,3,3,4,3,4,4,3,2,1,1,1,1,0 ,1,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21930,I Lve NY W Boat,25,25,0 ,0 ,0 ,0 ,0 ,9,45,61,25,28,54,32,20,35,23,44,80,45,47,99,63,40,91,112,59,117,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21930,I Lve NY W Boat,70,70,57,54,53,48,57,55,55,84,107,105,102,104,77,76,124,89,89,47,37,37,34,33,12,21,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Assistance and Grants,Miscellaneous State Special Revenue,21932,Snowmobile,"6,650","6,650","5,290","5,211","4,630","4,679","4,629","4,314","4,149","3,665","4,754","4,487","4,185","3,473","5,363","5,099","5,017","5,530","2,731","3,537","5,368","4,712","2,572","1,880","1,507","1,091","1,069",871,796,809,592,548
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21932,Snowmobile,81,81,120,98,101,127,127,165,127,116,129,96,106,74,128,43,75,74,65,83,77,45,43,40,26,48,18,17,12,12,23,24
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21932,Snowmobile,9,9,5,5,5,6,7,8,4,5,6,5,6,4,6,6,7,7,5,6,6,4,4,4,0 ,6,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21932,Snowmobile,150,150,120,91,107,99,77,113,77,95,125,92,187,78,88,121,150,243,195,514,379,490,699,232,210,276,404,256,221,142,205,89
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21932,Snowmobile,111,111,181,150,162,210,199,218,202,204,195,220,169,162,147,200,112,211,120,185,176,122,106,131,97,155,122,163,84,98,70,70
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21986,Seized Assets,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,27,14,22
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21986,Seized Assets,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17,0 ,106,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,30,43,16
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21986,Seized Assets,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,72,70,71
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219A8,Pk Rec Indirect,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20,19,21
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219A8,Pk Rec Indirect,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,502,788,"1,154","1,084"
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219A8,Pk Rec Indirect,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,23,65,79
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219C1,Spec Park Activ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,254,226,224
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219C1,Spec Park Activ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,415,"1,281","1,688","1,377"
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219C1,Spec Park Activ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,107,"1,799","1,444","1,563"
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219C2,Jones Bch Theat,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,58,100,197,62,198,101,77,102
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219C2,Jones Bch Theat,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,187,514,125,388,329,443,282,149,39
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219C2,Jones Bch Theat,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1,"1,295","1,172","1,583",655,"1,118",685,541,546
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22011,Public Service,44,44,39,37,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29,27,25,18,20,18,15,13,14,3,0 ,13,9,6,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22011,Public Service,2,2,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3,2,3,2,2,2,2,0 ,3,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22011,Public Service,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,0 ,1,0 ,2,1,1,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22011,Public Service,60,60,58,58,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(3),65,58,56,51,53,52,47,49,42,40,0 ,40,26,11,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Assistance and Grants,Miscellaneous State Special Revenue,22025,Comm Svce Assis,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14,0 ,0 ,96,262,"1,905","7,299",13,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22038,OPWDD Day Servi,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22038,OPWDD Day Servi,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22038,OPWDD Day Servi,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22163,Patron Services,"5,214","5,200","4,773","4,475","3,700","3,800","4,427","3,417","3,028","2,689","2,547","2,524","2,475",3,357,"2,446","2,299","3,227","2,024","2,122","1,538","1,518","3,135",315,"1,142","1,185","1,011",578,"2,135","1,529","1,337","1,120"
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22163,Patron Services,0 ,0 ,0 ,0 ,0 ,0 ,38,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22163,Patron Services,"37,220","36,916","38,697","35,779","30,629","24,166","31,473","35,743","32,770","37,218","36,779","38,724","41,782","40,149","33,402","29,655","30,557","38,053","32,638","30,682","30,220","28,550","29,660","25,493","25,673","24,824","23,027","18,070","15,300","5,987","7,336","5,858"
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22163,Patron Services,"52,234","50,015","31,539","27,907","23,913","25,776","25,223","33,969","33,224","31,515","29,194","28,293","29,840","28,244","27,548","25,612","28,574","26,828","23,840","24,470","22,247","20,622","18,793","16,335","14,582","13,036","12,467","11,245","14,758","10,970","8,841","6,875"
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22188,Fed Indirect Re,0 ,0 ,0 ,0 ,0 ,0 ,0 ,152,20,116,0 ,0 ,0 ,0 ,0 ,68,75,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,"Parks, Recreation and Historic Preservation, Office of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22238,Eq Sh PRK Treas,50,50,0 ,6,0 ,0 ,12,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Parks and the Environment,Public Facilities Sustainability Program,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,"60,000","5,000",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
Transportation,Governor's Traffic Safety Committee,General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,45,73
Transportation,Governor's Traffic Safety Committee,General Fund,Personal Service,State Operations Account,10050,State Purposes,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,359,375
