Agency,1996-97  Actuals,Fund Type,1998-99  Actuals,2006-07  Actuals,2010-11  Actuals,Function,2013-14  Actuals,FP Category,2003-04  Actuals,2009-10  Actuals,2007-08  Actuals,Fund,2000-01  Actuals,2015-16  Estimates,2005-06  Actuals,Subfund Name,2008-09  Actuals,2002-03  Actuals,1999-00  Actuals,2001-02  Actuals,Subfund,1994-95  Actuals,2012-13  Actuals,1995-96  Actuals,2011-12  Actuals,2014-15  Estimates,1997-98  Actuals,2004-05  Actuals,Fund Description,FP Category Description,Fund Type Description
"Housing and Community Renewal, Division of",4231000.0,Capital Projects Funds - Other,0.0,0.0,100000.0,Social Welfare,0.0,Grants to Local Gov.,747000.0,20589000.0,1236000.0,Housing Assistance Fund,6600000.0,0.0,0.0,Housing Assista,11349000.0,4000000.0,0.0,0.0,318CC,31154000.0,0.0,9674000.0,0.0,0.0,0.0,4000000.0,To account for moneys earmarked for various housing assistance programs.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Housing and Community Renewal, Division of",0.0,Capital Projects Funds - Other,0.0,575000.0,0.0,Social Welfare,0.0,Grants to Local Gov.,1035000.0,0.0,0.0,Housing Program Fund,0.0,575000.0,575000.0,Housing Program,0.0,0.0,0.0,0.0,31850,0.0,0.0,0.0,0.0,575000.0,0.0,625000.0,"To account for the Low Income Housing Trust Fund Program, the Affordable Home Ownership Development Program and the Homeless Housing and Assistance Program that is financed by the New York State Housing Finance Agency.  To maintain and repair existing facilities financed by the Housing Finance Agency.","Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Housing and Community Renewal, Division of",84702000.0,Capital Projects Funds - Other,80199000.0,80975000.0,93470000.0,Social Welfare,81775000.0,Grants to Local Gov.,74690000.0,92338000.0,95752000.0,Housing Program Fund,31400000.0,95152000.0,73900000.0,Housing Authori,96500000.0,77525000.0,68500000.0,66100000.0,318CC,54963000.0,80760000.0,65606000.0,80060000.0,81652000.0,21650000.0,75025000.0,"To account for the Low Income Housing Trust Fund Program, the Affordable Home Ownership Development Program and the Homeless Housing and Assistance Program that is financed by the New York State Housing Finance Agency.  To maintain and repair existing facilities financed by the Housing Finance Agency.","Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Temporary and Disability Assistance, Office of",0.0,Capital Projects Funds - Other,23199000.0,0.0,45000000.0,Social Welfare,32000000.0,Grants to Local Gov.,0.0,0.0,0.0,Housing Program Fund,20000000.0,40500000.0,0.0,Housing Authori,0.0,3722000.0,20000000.0,23000000.0,318CC,26454000.0,40000000.0,28887000.0,45000000.0,28000000.0,17251000.0,518000.0,"To account for the Low Income Housing Trust Fund Program, the Affordable Home Ownership Development Program and the Homeless Housing and Assistance Program that is financed by the New York State Housing Finance Agency.  To maintain and repair existing facilities financed by the Housing Finance Agency.","Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Reclassifications/Other,0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Reclassifications/Other,0.0,Grants to Local Gov.,0.0,0.0,0.0,Housing Program Fund,0.0,0.0,1000.0, ,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,"To account for the Low Income Housing Trust Fund Program, the Affordable Home Ownership Development Program and the Homeless Housing and Assistance Program that is financed by the New York State Housing Finance Agency.  To maintain and repair existing facilities financed by the Housing Finance Agency.","Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Alcoholism and Substance Abuse Services, Office of",0.0,Capital Projects Funds - Other,0.0,750000.0,213000.0,Mental Hygiene,3091000.0,Grants to Local Gov.,0.0,1770000.0,771000.0,Mental Hygiene Facilities Capital Improvement,0.0,750000.0,750000.0,MH-Capital Impr,811000.0,0.0,0.0,0.0,32300,0.0,3119000.0,0.0,2804000.0,750000.0,0.0,750000.0,To account for Mental Hygiene capital projects financed by the New York State Medical Care Facilities Finance Agency or Dormitory Authority as successor agency.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Alcoholism and Substance Abuse Services, Office of",9162000.0,Capital Projects Funds - Other,7358000.0,30216000.0,34613000.0,Mental Hygiene,25485000.0,Grants to Local Gov.,6554000.0,20180000.0,39721000.0,Mental Hygiene Facilities Capital Improvement,21238000.0,42284000.0,21579000.0,MH Cap Imprv Au,51930000.0,12430000.0,10052000.0,11298000.0,323CC,27792000.0,18087000.0,12427000.0,42172000.0,34672000.0,7698000.0,21626000.0,To account for Mental Hygiene capital projects financed by the New York State Medical Care Facilities Finance Agency or Dormitory Authority as successor agency.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Mental Health, Office of",0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Mental Hygiene,0.0,Grants to Local Gov.,0.0,0.0,0.0,Mental Hygiene Facilities Capital Improvement,0.0,1000000.0,323000.0,MH-Capital Impr,0.0,0.0,0.0,0.0,32300,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,To account for Mental Hygiene capital projects financed by the New York State Medical Care Facilities Finance Agency or Dormitory Authority as successor agency.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Mental Health, Office of",21023000.0,Capital Projects Funds - Other,9629000.0,25557000.0,55906000.0,Mental Hygiene,18089000.0,Grants to Local Gov.,8065000.0,39605000.0,33966000.0,Mental Hygiene Facilities Capital Improvement,6906000.0,50083000.0,36116000.0,MH Cap Imprv Au,39222000.0,3505000.0,5734000.0,16145000.0,323CC,22500000.0,24803000.0,13342000.0,27891000.0,47083000.0,18346000.0,29345000.0,To account for Mental Hygiene capital projects financed by the New York State Medical Care Facilities Finance Agency or Dormitory Authority as successor agency.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"People with Developmental Disabilities, Office for",0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Mental Hygiene,0.0,Grants to Local Gov.,0.0,0.0,0.0,Mental Hygiene Facilities Capital Improvement,0.0,0.0,0.0,MH-Capital Impr,0.0,0.0,0.0,0.0,32300,0.0,0.0,0.0,0.0,0.0,0.0,1009000.0,To account for Mental Hygiene capital projects financed by the New York State Medical Care Facilities Finance Agency or Dormitory Authority as successor agency.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"People with Developmental Disabilities, Office for",3465000.0,Capital Projects Funds - Other,0.0,0.0,0.0,Mental Hygiene,0.0,Grants to Local Gov.,56000.0,0.0,0.0,Mental Hygiene Facilities Capital Improvement,1236000.0,0.0,0.0,MH Cap Imprv Au,0.0,909000.0,3224000.0,2306000.0,323CC,10405000.0,0.0,11602000.0,0.0,0.0,1145000.0,5739000.0,To account for Mental Hygiene capital projects financed by the New York State Medical Care Facilities Finance Agency or Dormitory Authority as successor agency.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Reclassifications/Other,0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Reclassifications/Other,0.0,Grants to Local Gov.,0.0,0.0,0.0,Mental Hygiene Facilities Capital Improvement,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,To account for Mental Hygiene capital projects financed by the New York State Medical Care Facilities Finance Agency or Dormitory Authority as successor agency.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Corrections and Community Supervision, Department of",0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Public Protection/Criminal Justice,0.0,Grants to Local Gov.,1000.0,0.0,0.0,Correctional Facilities Capital Improvement Fund,0.0,0.0,0.0,Corr Fac Cap Im,0.0,0.0,0.0,0.0,323CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for correctional facilities capital projects financed by the New York State Urban Development Corporation.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Reclassifications/Other,0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Reclassifications/Other,0.0,Grants to Local Gov.,0.0,0.0,0.0,Correctional Facilities Capital Improvement Fund,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for correctional facilities capital projects financed by the New York State Urban Development Corporation.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
City University of New York,0.0,Capital Projects Funds - Other,12000.0,0.0,0.0,Higher Education,0.0,Grants to Local Gov.,0.0,0.0,0.0,City University of New York Capital Projects Fund,0.0,0.0,0.0,CUNY Capital Pr,0.0,0.0,1126000.0,0.0,32250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for the City University Senior College capital projects financed by private gifts or grants or by grants from other governmental entities.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Environmental Conservation, Department of",956000.0,Capital Projects Funds - Other,1754000.0,0.0,0.0,Parks and the Environment,0.0,Non-Personal Service,845000.0,0.0,0.0,Hazardous Waste Remedial Fund,1363000.0,0.0,1288000.0,Hazardous Waste,0.0,1238000.0,1474000.0,1247000.0,31500,1662000.0,0.0,1585000.0,0.0,0.0,1474000.0,960000.0,To account for revenues earmarked for the clean-up of hazardous waste disposal sites.,"Includes payments for miscellaneous contractual obligations, supplies and materials, travel, rentals and repairs, utilities, postage and shipping, printing, telephone, and other operating costs.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Transportation, Department of",3250000.0,Capital Projects Funds - Other,0.0,0.0,0.0,Transportation,0.0,Non-Personal Service,0.0,0.0,0.0,Special Parkway Rehabilitation Fund,0.0,0.0,0.0,Special Parkway,0.0,0.0,0.0,0.0,322SR,2516000.0,0.0,3172000.0,0.0,0.0,0.0,0.0,,"Includes payments for miscellaneous contractual obligations, supplies and materials, travel, rentals and repairs, utilities, postage and shipping, printing, telephone, and other operating costs.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Environmental Conservation, Department of",17466000.0,Capital Projects Funds - Other,18096000.0,0.0,0.0,Parks and the Environment,0.0,Personal Service,19025000.0,0.0,0.0,Hazardous Waste Remedial Fund,19544000.0,0.0,23712000.0,Hazardous Waste,0.0,19987000.0,18160000.0,19653000.0,31500,16935000.0,0.0,17263000.0,0.0,0.0,17444000.0,21570000.0,To account for revenues earmarked for the clean-up of hazardous waste disposal sites.,Includes the payment of salaries and compensation for State employees.,These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Transportation, Department of",0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Transportation,0.0,Personal Service,0.0,0.0,0.0,Special Parkway Rehabilitation Fund,0.0,0.0,0.0,Special Parkway,0.0,0.0,0.0,0.0,322SR,1600000.0,0.0,24000.0,0.0,0.0,0.0,0.0,,Includes the payment of salaries and compensation for State employees.,These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Environmental Conservation, Department of",4860000.0,Capital Projects Funds - Other,5064000.0,0.0,0.0,Parks and the Environment,0.0,Fringe Benefits,5772000.0,0.0,0.0,Hazardous Waste Remedial Fund,4861000.0,0.0,10194000.0,Hazardous Waste,0.0,8152000.0,5631000.0,4697000.0,31500,5198000.0,0.0,4941000.0,0.0,0.0,6632000.0,9240000.0,To account for revenues earmarked for the clean-up of hazardous waste disposal sites.,"Includes contributions to pension systems, the employer’s share of Social Security contributions, employer contributions toward the cost of health insurance, workers compensation and unemployment insurance, and contributions to union employee benefit funds which provide vision care and other services.  ",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Transportation, Department of",0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Transportation,0.0,Fringe Benefits,0.0,0.0,0.0,Special Parkway Rehabilitation Fund,0.0,0.0,0.0,Special Parkway,0.0,0.0,0.0,0.0,322SR,824000.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Includes contributions to pension systems, the employer’s share of Social Security contributions, employer contributions toward the cost of health insurance, workers compensation and unemployment insurance, and contributions to union employee benefit funds which provide vision care and other services.  ",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Transportation, Department of",0.0,Special Revenue Funds - Federal,0.0,0.0,0.0,Transportation,0.0,Capital Projects,6033000.0,0.0,0.0,Federal Miscellaneous Operating Grants Fund,0.0,0.0,0.0,Fed Oper Grant,0.0,0.0,0.0,0.0,25300,0.0,0.0,677000.0,0.0,0.0,0.0,0.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
Reclassifications/Other,0.0,Special Revenue Funds - Federal,0.0,0.0,0.0,Reclassifications/Other,0.0,Capital Projects,0.0,0.0,0.0,Federal Miscellaneous Operating Grants Fund,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0, ,527000.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for miscellaneous Federal grants that are each earmarked for specific purposes.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Aging, Office for the",3145000.0,Special Revenue Funds - Federal,2434000.0,5686000.0,0.0,Health,0.0,Grants to Local Gov.,4366000.0,527000.0,4747000.0,Federal Block Grants Fund,207000.0,0.0,3673000.0,HHS Block Grant,3101000.0,3304000.0,497000.0,2568000.0,25250,3873000.0,0.0,4335000.0,0.0,0.0,2078000.0,3753000.0,To account for Federal block grants administered by the Department of Health and Human Services.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Health, Department of",50701000.0,Special Revenue Funds - Federal,44041000.0,20839000.0,11000.0,Health,0.0,Grants to Local Gov.,50134000.0,6719000.0,24448000.0,Federal Block Grants Fund,48131000.0,0.0,50844000.0,HHS Block Grant,19446000.0,50556000.0,44958000.0,54889000.0,25250,46054000.0,0.0,50479000.0,0.0,0.0,50870000.0,47411000.0,To account for Federal block grants administered by the Department of Health and Human Services.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Children and Family Services, Office of",0.0,Special Revenue Funds - Federal,183887000.0,109566000.0,0.0,Social Welfare,0.0,Grants to Local Gov.,109361000.0,5417000.0,48020000.0,Federal Block Grants Fund,53097000.0,0.0,107214000.0,HHS Block Grant,51806000.0,182667000.0,122006000.0,118960000.0,25250,0.0,0.0,0.0,0.0,0.0,257637000.0,98453000.0,To account for Federal block grants administered by the Department of Health and Human Services.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Housing and Community Renewal, Division of",8316000.0,Special Revenue Funds - Federal,17824000.0,39451000.0,0.0,Social Welfare,0.0,Grants to Local Gov.,33582000.0,6278000.0,40222000.0,Federal Block Grants Fund,22720000.0,0.0,34943000.0,HHS Block Grant,8005000.0,29099000.0,14848000.0,34501000.0,25250,0.0,0.0,0.0,0.0,0.0,25271000.0,30392000.0,To account for Federal block grants administered by the Department of Health and Human Services.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Social Services, Department of",258059000.0,Special Revenue Funds - Federal,0.0,0.0,0.0,Social Welfare,0.0,Grants to Local Gov.,0.0,0.0,0.0,Federal Block Grants Fund,0.0,0.0,0.0,HHS Block Grant,0.0,0.0,0.0,0.0,25250,423053000.0,0.0,351738000.0,0.0,0.0,0.0,0.0,To account for Federal block grants administered by the Department of Health and Human Services.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Temporary and Disability Assistance, Office of",0.0,Special Revenue Funds - Federal,113178000.0,226722000.0,1207000.0,Social Welfare,0.0,Grants to Local Gov.,234816000.0,5712000.0,260160000.0,Federal Block Grants Fund,256555000.0,0.0,284568000.0,HHS Block Grant,243857000.0,188800000.0,108682000.0,249307000.0,25250,0.0,0.0,0.0,0.0,0.0,111615000.0,216585000.0,To account for Federal block grants administered by the Department of Health and Human Services.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Alcoholism and Substance Abuse Services, Office of",73931000.0,Special Revenue Funds - Federal,81626000.0,103016000.0,0.0,Mental Hygiene,0.0,Grants to Local Gov.,113624000.0,2022000.0,113270000.0,Federal Block Grants Fund,96976000.0,0.0,100189000.0,HHS Block Grant,49786000.0,96823000.0,97068000.0,99917000.0,25250,79704000.0,0.0,83708000.0,0.0,0.0,71467000.0,101490000.0,To account for Federal block grants administered by the Department of Health and Human Services.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Mental Health, Office of",18754000.0,Special Revenue Funds - Federal,12608000.0,19710000.0,0.0,Mental Hygiene,0.0,Grants to Local Gov.,32790000.0,0.0,28915000.0,Federal Block Grants Fund,23539000.0,0.0,27578000.0,HHS Block Grant,10829000.0,24763000.0,17875000.0,18377000.0,25250,12493000.0,0.0,19280000.0,0.0,0.0,18209000.0,27855000.0,To account for Federal block grants administered by the Department of Health and Human Services.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Corrections and Community Supervision, Department of",0.0,Special Revenue Funds - Federal,850000.0,0.0,0.0,Public Protection/Criminal Justice,0.0,Grants to Local Gov.,0.0,0.0,0.0,Federal Block Grants Fund,0.0,0.0,0.0,HHS Block Grant,0.0,0.0,0.0,0.0,25250,0.0,0.0,0.0,0.0,0.0,2350000.0,0.0,To account for Federal block grants administered by the Department of Health and Human Services.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
"Criminal Justice Services, Division of",0.0,Special Revenue Funds - Federal,21000.0,0.0,0.0,Public Protection/Criminal Justice,0.0,Grants to Local Gov.,0.0,0.0,0.0,Federal Block Grants Fund,103000.0,0.0,0.0,HHS Block Grant,0.0,0.0,13000.0,12000.0,25250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for Federal block grants administered by the Department of Health and Human Services.,"Includes payments to counties, cities, towns, villages, school districts and other local entities, as well as certain financial assistance to, or on behalf of, individuals and nonprofit organizations.","This a major fund that accounts for most federal revenues and expenditures.  The Federal Special Revenue Fund is divided into several accounts.  The Fund accounts for federal grants received by the State that are earmarked for specific programs.  The need to satisfy federal accounting and reporting requirements dictates that federal grants be accounted for in a number of separate accounts.  These accounts include the Federal USDA - Food and Nutrition Services Accounts, the Federal Health and Human Services Account, the Federal Education Account, the Federal Operating Grants Account, the Unemployment Insurance Ammonization Account, the Federal Unemployment Insurance Occupational Training Account and the Federal Employment and Training Grants Account. "
